date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-12 11:01:05,CCHQPress,,62,81,108,"Corbyn and McDonnell have long been proponents of a land value tax on homes, in another Labour tax raid on homeowners #CostOfCorbyn #VoteConservative",,,#CostOfCorbyn #VoteConservative,1205080122468044800,https://twitter.com/CCHQPress/status/1205080122468044800
2019-12-12 09:13:32,CCHQPress,,335,491,788,"The true cost of Corbyn #CostOfCorbyn #VoteConservativesActually",,,#CostOfCorbyn #VoteConservativesActually,1205053057320570880,https://twitter.com/CCHQPress/status/1205053057320570880
2019-12-11 15:47:25,CCHQPress,TheRedRoar,138,206,466,"It's clear - a vote for any other party than the @Conservatives will put Corbyn in Downing St, propped up by Sturgeon &amp; other parties That means wasting all of nxt yr on 2 more chaotic referendums &amp; a wrecking ball taken to our economy #VoteConservative",,@Conservatives,#VoteConservative,1204789793974038530,https://twitter.com/CCHQPress/status/1204789793974038530
2019-12-11 09:39:06,CCHQPress,,175,582,1065,"His own Shadow Health Secretary thinks it Former Labour MPs think it And Labour candidates think it in private Jeremy Corbyn is unfit to lead our great nation",,,,1204697105455079424,https://twitter.com/CCHQPress/status/1204697105455079424
2019-12-11 09:30:32,CCHQPress,,139,144,402,"End the arguing. Break the gridlock. Get Brexit Done. #VoteConservative",,,#VoteConservative,1204694946802020355,https://twitter.com/CCHQPress/status/1204694946802020355
2019-12-11 08:14:08,CCHQPress,,42,56,142,"Break the gridlock. Get Brexit Done. #VoteConservative",,,#VoteConservative,1204675721815310336,https://twitter.com/CCHQPress/status/1204675721815310336
2019-12-11 07:45:05,CCHQPress,,133,321,724,"Labour's Shadow Chancellor touring TV studios this morning. He used to promise you ""we respect the referendum result"" That was a lie - he now says he'll campaign to remain in the EU in Labour's 2nd referendum Only the @Conservatives will respect the result &amp; #GetBrexitDone",,@Conservatives,#GetBrexitDone,1204668410950508544,https://twitter.com/CCHQPress/status/1204668410950508544
2019-12-11 07:18:19,CCHQPress,,119,273,423,"John McDonnell again claiming he has never called for a four-day week on @BBCBreakfast That's just not true, he has called for a four-day week in the NHS that would mean staff shortages at hospitals and cost our NHS over £6 billion a year",,@BBCBreakfast,,1204661673866514432,https://twitter.com/CCHQPress/status/1204661673866514432
2019-12-10 16:27:41,CCHQPress,SebastianEPayne,76,53,212,"Break the gridlock, #GetBrexitDone, #VoteConservative",,,#GetBrexitDone #VoteConservative,1204437541023297536,https://twitter.com/CCHQPress/status/1204437541023297536
2019-12-10 15:49:08,CCHQPress,,247,193,439,"Corbyn would take our economy back to square one “All the hard graft of the last decade, necessary to recover from the last time Labour left the economy in a mess, would be reversed overnight”",,,,1204427838839017475,https://twitter.com/CCHQPress/status/1204427838839017475
2019-12-10 11:53:24,CCHQPress,,140,333,647,".@JamesCleverly “This is an honest &amp; truly devastating assessment of Jeremy Corbyn’s leadership by one of his most trusted election lieutenants. “He admits that Labour has blocked Brexit and that is why voters ‘can’t stand Corbyn’""",,@JamesCleverly,,1204368514083147776,https://twitter.com/CCHQPress/status/1204368514083147776
2019-12-10 10:38:31,CCHQPress,,152,402,870,"Labour's Shadow Health Secretary saying what many Labour candidates think in private - Corbyn's not up to the job https://order-order.com/2019/12/10/ashworth-civil-service-machine-will-move-quickly-safeguard-national-security-corbyn/",,,,1204349670723608576,https://twitter.com/CCHQPress/status/1204349670723608576
2019-12-10 10:21:08,CCHQPress,,146,107,435,"Oh dear. Jon Ashworth going with the 'it was just banter' defence",,,,1204345296047804416,https://twitter.com/CCHQPress/status/1204345296047804416
2019-12-10 08:31:21,CCHQPress,jeremycorbyn,117,207,445,"Corbyn flailing on @BBCBreakfast as litany of broken promises on Brexit are raised ""Labour respects the result of the referendum"" ""I'm not supporting or calling for a second referendum"" You can't trust a word Corbyn says",,@BBCBreakfast,,1204317665453641729,https://twitter.com/CCHQPress/status/1204317665453641729
2019-12-10 08:26:05,CCHQPress,,238,503,757,"Corbyn has already admitted everyone would be forced to pay higher taxes under Labour's extreme plans",,,,1204316339298611201,https://twitter.com/CCHQPress/status/1204316339298611201
2019-12-10 08:21:52,CCHQPress,,49,74,136,"Corbyn admits on @BBCBreakfast the Welsh Labour government has a ""bad record"" on A&amp;E waiting times",,@BBCBreakfast,,1204315281461518336,https://twitter.com/CCHQPress/status/1204315281461518336
2019-12-10 07:38:28,CCHQPress,BorisJohnson,53,44,142,"Let's get this done #VoteConservative",,,#VoteConservative,1204304356163620864,https://twitter.com/CCHQPress/status/1204304356163620864
