Source,Target,Tweet Type
schmoo1408,borisjohnson_mp,retweet
schmoo1408,krishgm,retweet
redarsebandit,scousegirlmedia,retweet
killiejohn,thesnp,retweet
killiejohn,dr_philippaw,retweet
killiejohn,robertjenrick,retweet
manville54,jamesfwells,retweet
jonnyboy2021,_brexittory,retweet
templaine,topazstopbrexit,retweet
stephenjputtick,remainutd,retweet
lordmvee,rachael_swindon,retweet
mikemol1982,peoplesvote_uk,retweet
sophiegekas,scousegirlmedia,retweet
exracer99,chrisallmey,retweet
exracer99,conservatives,retweet
allanjgreen,jamesfwells,retweet
ianpindar,scousegirlmedia,retweet
amanda_diment,tommycorbyn,retweet
xgman68x,kb21_rfc,retweet
xgman68x,chr1smclaughlin,retweet
xgman68x,kylensign,retweet
david_dowse1,thestephenralph,retweet
andywells7,jamesfwells,retweet
rusty_rascal,bbcpolitics,retweet
rusty_rascal,bbcquestiontime,retweet
rusty_rascal,bbcone,retweet
paulpe28,rachael_swindon,retweet
deasy_diane,rosinapaintolin,retweet
alterntereality,victorialive,reply
jennyjones1313,stuartlothian,retweet
jennyjones1313,mikegalsworthy,retweet
redfoxodell,scousegirlmedia,retweet
plaidrhys,plaidislwyn,retweet
plaidrhys,plaid_cymru,retweet
plaidrhys,adamprice,retweet
laughatlantic,borisjohnson_mp,retweet
laughatlantic,krishgm,retweet
kbw1001,athenaleave,retweet
kbw1001,nigel_farage,retweet
kbw1001,brexitparty_uk,retweet
kbw1001,brexitparty_uk,retweet
socfuture,socialactioninf,retweet
socfuture,socfuture,retweet
kevinb16199864,_brexittory,retweet
charlessr1956,borisjohnson_mp,retweet
charlessr1956,krishgm,retweet
j_ayrun,haggis_uk,retweet
julesmadworld,thegobbledegook,retweet
angelaissa66,stwuk,retweet
alexseale,bbcquestiontime,retweet
snp_porty_craig,dr_philippaw,retweet
snp_porty_craig,thesnp,retweet
rud_01516323003,kazzjenkins,retweet
rud_01516323003,conservatives,retweet
marijana_zm,bbcpolitics,retweet
marijana_zm,bbcquestiontime,retweet
marijana_zm,bbcone,retweet
markpowell88,joshpowell88,retweet
wrysmile9,sunpolitics,retweet
peacedovelives,scousegirlmedia,retweet
williamaulicino,rachael_swindon,retweet
maddylucya,borisjohnson_mp,retweet
maddylucya,krishgm,retweet
elibo_17,_brexittory,retweet
michaelfrohlic3,bbcquestiontime,reply
michaelfrohlic3,bbcone,retweet
chrysaliseduse1,rachael_swindon,retweet
cleggy261,getbrexitdung,retweet
cleggy261,patel4witham,retweet
cleggy261,borisjohnson,retweet
cleggy261,bbcpolitics,retweet
cleggy261,bydonkeys,retweet
steveja1311,borisjohnson_mp,retweet
steveja1311,krishgm,retweet
_fr30,aaronbastani,retweet
_fr30,novaramedia,retweet
vicar_of_timbly,_brexittory,retweet
chrismothman1,brexitbin,retweet
wjanderson1,kirstene4angus,retweet
wjanderson1,scottories,retweet
sophiegekas,uklabourradlett,retweet
lancashirelad9,_brexittory,retweet
cornish_damo,bywirenews,retweet
thomaspilchard,goodwinmj,retweet
lackada68413683,djack_journo,retweet
lackada68413683,johnnymerceruk,retweet
hagbard2,rachael_swindon,retweet
helenpapworth,delynclp,retweet
manville54,steviebrexit,retweet
waronepilepsy,_ukactive,retweet
waronepilepsy,who,retweet
jamesroths,_brexittory,retweet
tiirath,dancingthemind,retweet
magicofthemind,remainutd,retweet
fmo_fed,nesta_uk,retweet
fmo_fed,libdems,retweet
stumpyrabbitt,peoplesvote_uk,retweet
kevingordonhadd,ronniecowan,retweet
kevingordonhadd,thesnp,retweet
miltonorourke,scousegirlmedia,retweet
rehman_chishti,offord4hendon,retweet
lindsay94578147,thesnp,retweet
lindsay94578147,dr_philippaw,retweet
lindsay94578147,robertjenrick,retweet
sfplouise,haggis_uk,retweet
marc_vallee,jay_sutherland_,retweet
marc_vallee,joswinson,retweet
chris_n247,rachael_swindon,retweet
jaimethetallone,lgbtlabouruk,retweet
jaimethetallone,uklabour,retweet
jaimethetallone,lgbtlabouruk,retweet
jaimethetallone,uklabour,retweet
joannaengland84,bbcpolitics,retweet
joannaengland84,bbcquestiontime,retweet
joannaengland84,bbcone,retweet
jackieleonard01,bbcpolitics,retweet
jackieleonard01,bbcquestiontime,retweet
jackieleonard01,bbcone,retweet
jaimethetallone,lgbtlabouruk,retweet
jaimethetallone,uklabour,retweet
diezypresse,bbcpolitics,retweet
diezypresse,bbcquestiontime,retweet
diezypresse,bbcone,retweet
jaimethetallone,lgbtlabouruk,retweet
jaimethetallone,uklabour,retweet
graytommykent,jerryhicksunite,retweet
kidtempo,brexitbin,retweet
jacquep,brexit_sham,retweet
jacquep,matthancock,retweet
andrea95115861,barrynl,retweet
andrea95115861,femi_sorry,retweet
andrea95115861,paulkohlersw19,retweet
jaimethetallone,lgbtlabouruk,retweet
jaimethetallone,uklabour,retweet
tazadi2000,oliverdowden,retweet
jaimethetallone,lgbtlabouruk,retweet
jaimethetallone,uklabour,retweet
jaimethetallone,lgbtlabouruk,retweet
jaimethetallone,uklabour,retweet
kwokker1,sunpolitics,retweet
kwokker1,emilyhewertson,retweet
serendipitysays,bethrigby,retweet
irheard,_brexittory,retweet
shamethedevil,trickyjabs,retweet
garethdennis,ruchosharma,retweet
jess_parkerrvn,thevegansociety,retweet
mrburlison,kr_shackleton,retweet
mrburlison,leerjdillon,retweet
mrburlison,kennetradio,retweet
mrburlison,strafin,retweet
serendipitysays,bethrigby,retweet
babouviste,jamesefoster,retweet
babouviste,borisjohnson,retweet
babouviste,uklabour,retweet
babouviste,armilani_,retweet
babouviste,borisjohnson,retweet
babouviste,jeremycorbyn,retweet
