date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-12 23:59:45,AlanGWardrop,jackboskett,0,0,0,"Yes we can, in 2024",,,,1205276080048877568,https://twitter.com/AlanGWardrop/status/1205276080048877568
2019-12-12 23:59:08,CalumLucas4,BorisJohnson,0,0,0,"I voted... @jeremycorbyn for PM... Bye Bye BoZo, exit polls mean nothing.",,@jeremycorbyn,,1205275925333581825,https://twitter.com/CalumLucas4/status/1205275925333581825
2019-12-12 23:58:43,matthud59,DeadlyNytshade_,0,0,0,"Where did I say I was Corbynista? You should pay more attention!!",,,,1205275820916428800,https://twitter.com/matthud59/status/1205275820916428800
2019-12-12 23:58:34,__Cooookie,,0,0,0,"Fuck off @jeremycorbyn Comon @BorisJohnson take this country forward! ",,@jeremycorbyn @BorisJohnson,,1205275785252212736,https://twitter.com/__Cooookie/status/1205275785252212736
2019-12-12 23:58:05,TumminelloFabio,,1,0,0,"In a nutshell so far, #ExitPolls: - Fog in Channel, BRITAIN cut-off @BorisJohnson - What’s left, @jeremycorbyn? I mean LEFT - Hit the jackpot @NicolaSturgeon #GeneralElection19 #GE2019 #LabourParty #UKElections2019 #election #maratonamentana",,@BorisJohnson @jeremycorbyn @NicolaSturgeon,#ExitPolls #GeneralElection19 #GE2019 #LabourParty #UKElections2019 #election #maratonamentana,1205275660735922178,https://twitter.com/TumminelloFabio/status/1205275660735922178
2019-12-12 23:57:20,RussellAJ,,0,0,0,"My only remaining hope is that this is the end of Corbyn and the far left in the @UKLabour and a return to the centre. @jeremycorbyn is 100% to blame for this. He has made @BorisJohnson seem like the centred politician. Absolutely fucking crazy",,@UKLabour @jeremycorbyn @BorisJohnson,,1205275472311070725,https://twitter.com/RussellAJ/status/1205275472311070725
2019-12-12 23:57:18,Mzhy_99,manzoor_ahad,0,0,0,"Blk ppl know that ppl in this country would rather die than to think blk ppl are getting something they don't deserve. Free College! Free Healthcare! Nope. So We will vote practically. Bernie Sanders supporters better fall in line. That Bernie or bust shit can't stand.",,,,1205275466241888256,https://twitter.com/Mzhy_99/status/1205275466241888256
2019-12-12 23:57:17,NoelHickman,,0,0,0,"@jeremycorbyn looks like he’s had his pants pulled down and spanked by @BorisJohnson tonight. How long will he last??? ",,@jeremycorbyn @BorisJohnson,,1205275460827013122,https://twitter.com/NoelHickman/status/1205275460827013122
2019-12-12 23:56:44,Revorushinari,,1,1,1,"If exit polls are to be believed,a great victory for the Conservatives and @BorisJohnson .Why does Labour still think of miners voting for them when there’s no more mining taking place in those constituencies @jeremycorbyn",,@BorisJohnson @jeremycorbyn,,1205275322607910914,https://twitter.com/Revorushinari/status/1205275322607910914
2019-12-12 23:56:28,RealHumptyB,LynPaul6,1,0,2,"Listen closely to what #Boris says in Downing St tomorrow - and hold him to it. He wants to bring the country together. #onenationconservatism @BorisJohnson @CarrieSymonds",,@BorisJohnson @carriesymonds,#Boris #onenationconservatism,1205275254337286145,https://twitter.com/RealHumptyB/status/1205275254337286145
